Id,Name,Ratings,Price_Rs,Original_Price_Rs,Discount_Element,Annual_Power_Usage,Room_Size_sqft,Warranty
771,Panasonic 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4.2,"43,990","61,400",28%, 589.13 kWh,90,1 Year Comprehensive Warranty
772,Blue Star 1 Ton 3 Star Split Inverter AC  - White,3,"38,000","52,900",28%, 704.42 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
773,Hitachi Ice Clean Frost Wash Technology 2023 Model 1 Ton 3 Star Split Inverter Xpandable plus Ambience...,4,"54,299",N/A,N/A, 669.16 kWh,90,1 Year Warranty on Product
774,Hitachi Ice Clean Frost Wash Technology 2023 Model 1 Ton 3 Star Split Inverter Xpandable plus Ambience...,3.7,"55,050",N/A,N/A, 669.16 kWh,90,1 Year Warranty on Product
775,Voltas 1.5 Ton 5 Star Split Inverter adjustible AC  - White,3.7,"71,780","75,400",4%, 893.02 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
776,Panasonic 1.5 Ton 4 Star Split AC with Wi-fi Connect  - White,3.6,"38,890","55,345",29%, 111 - 150 sqft,,
777,Panasonic 2.2 Ton 4 Star Split Inverter AC  - White,2.3,"62,000",N/A,N/A, 731.44 kWh,,
778,"Hitachi 2 Ton 3 Star Split Inverter AC  - White, Gold",4.2,"59,590",N/A,N/A, 0 kWh, 151 - 200 ,1 Year on Product
779,GREE 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - Champagne/White,N/A,"59,595","75,832",21%, 1845 kWh,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
780,Panasonic 2.2 Ton 4 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"63,000","84,900",25%, 2250 kWh,,
781,Daikin 1 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,4.2,"42,000","50,000",16%, 680.4 kWh,90,1 Year Warranty on Product
782,Daikin 1.5 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,3.4,"42,999","61,300",29%, 930.42 kWh, 111 - 150 ,1 Year Warranty on Product
783,Lloyd 1.5 Ton 5 Star Split Inverter AC  - White,4.4,"53,999","65,999",18%, 5800 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor From Lloyd
784,Hitachi 1 Ton 3 Star Split Inverter AC  - White,3.6,"41,290",N/A,N/A, 0 kWh,90,1 Year on Complete Unit and 5 Years on Compressor
